contigName	contigLen	totalAvgDepth	MA_sorted.bam	MA_sorted.bam-var	MB_sorted.bam	MB_sorted.bam-var	MC_sorted.bam	MC_sorted.bam-var	MD_sorted.bam	MD_sorted.bam-var
bin00.contig0238	357	28132.9	6788.18	155163	8526.15	259829	4629.19	51916.1	8189.38	281308
bin00.contig0239	357	4042.15	952.961	64550.7	1182.4	95406.6	650.068	34006.3	1256.72	116366
bin00.contig0240	357	475.957	108.184	818.101	178.903	2540.7	48.5362	73.1917	140.333	856.195
bin00.contig0241	356	1230.42	315.67	399.071	284.607	2820.98	317.218	1556.34	312.927	1231.44
bin00.contig0242	343	653.995	133.881	167.543	245.725	399.627	102.596	129.95	171.793	366.103
bin00.contig0243	342	8306.93	2039.58	81596.5	2614.67	130570	1148.77	10872	2503.9	156539
bin00.contig0244	340	3590.39	818.947	105220	1136.65	203496	490.763	39942.5	1144.03	187068
bin00.contig0245	338	6644.16	1540.04	14904.8	2151.93	27398.8	1020.9	9250.61	1931.29	22338.4
bin00.contig0246	333	3090.17	646.464	1963.8	1091.6	4030.86	380.557	425.094	971.557	4351.12
bin00.contig0247	333	3397.96	899.989	29232	590.814	9948.39	1081.35	52832.9	825.809	20588.5
bin00.contig0248	333	158.579	35.4699	249.635	4.39344	2.03117	102.661	2148.64	16.0601	58.87
bin00.contig0249	332	2212.82	528.11	6174.96	708.841	9889.9	292.588	1033.9	683.291	8165.15
bin00.contig0250	332	17.2418	0	0	10.2418	1.88598	1.94505	1.22348	5.05494	5.67653
bin00.contig0251	329	10.9106	0.385475	0.238215	8.58101	2.90773	0.608939	0.23947	1.3352	0.707236
bin00.contig0252	328	1325.82	342.107	6804.39	401.539	15156.6	166.882	1674.01	415.292	8558.02
bin00.contig0253	327	12290.3	2885.25	86807.7	4045.03	157011	1639.73	30011.8	3720.26	140664
bin00.contig0254	323	749.364	192.775	12258.7	34.3468	9.58831	429.416	61323.5	92.8266	2381.1
