#Taxon	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Salisediminibacterium	1	0.38	130.40	0.29	55.29	0.92	0.00	0.00	75.11	0.27	0.00	0.00
Archaea;Euryarchaeota;Halobacteria;Halobacteriales	2	0.77	26.11	0.06	0.00	0.00	0.00	0.00	26.11	0.09	0.00	0.00
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	4	1.54	1882.96	4.24	361.20	5.99	207.28	4.65	974.57	3.51	339.91	5.47
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae	1	0.38	31.85	0.07	0.56	0.01	0.99	0.02	29.24	0.11	1.06	0.02
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio	1	0.38	32.08	0.07	3.25	0.05	1.00	0.02	26.83	0.10	1.00	0.02
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae	1	0.38	31.89	0.07	10.47	0.17	2.70	0.06	14.33	0.05	4.38	0.07
Bacteria;Bacteroidetes;Bacteroidia	7	2.69	861.60	1.94	147.71	2.45	176.74	3.96	108.34	0.39	428.81	6.90
Bacteria;Gemmatimonadetes	4	1.54	216.29	0.49	25.49	0.42	50.46	1.13	90.09	0.32	50.25	0.81
Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae	1	0.38	73.69	0.17	57.65	0.96	4.30	0.10	6.37	0.02	5.38	0.09
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina	1	0.38	72.32	0.16	13.32	0.22	0.99	0.02	52.38	0.19	5.62	0.09
